山西电信-组播1,#genre#
CCTV-5+体育赛事,http://110.178.145.69:8188/udp/239.1.1.12:8012
CCTV风云剧场,http://110.178.145.69:8188/udp/239.1.1.93:8093
CCTV第一剧场,http://110.178.145.69:8188/udp/239.1.1.94:8094
CCTV怀旧剧场,http://110.178.145.69:8188/udp/239.1.1.95:8095
CCTV女性时尚,http://110.178.145.69:8188/udp/239.1.1.89:8089
CCTV电视指南,http://110.178.145.69:8188/udp/239.1.1.90:8090
CCTV央视文化精品,http://110.178.145.69:8188/udp/239.1.1.91:8091
CCTV风云音乐,http://110.178.145.69:8188/udp/239.1.1.96:8096
CCTV兵器科技,http://110.178.145.69:8188/udp/239.1.1.97:8097
CCTV世界地理,http://110.178.145.69:8188/udp/239.1.1.99:8099
CCTV央视台球,http://110.178.145.69:8188/udp/239.1.1.100:8100
CCTV风云足球,http://110.178.145.69:8188/udp/239.1.1.101:8101
CCTV高尔夫网球,http://110.178.145.69:8188/udp/239.1.1.102:8102
凤凰卫视,http://110.178.145.69:8188/udp/239.1.1.126:8126
凤凰资讯,http://110.178.145.69:8188/udp/239.1.1.127:8127
湖南卫视,http://110.178.145.69:8188/udp/239.1.1.28:8028
四川卫视,http://110.178.145.69:8188/udp/239.1.1.29:8029
吉林卫视,http://110.178.145.69:8188/udp/239.1.1.30:8030
上海卫视,http://110.178.145.69:8188/udp/239.1.1.31:8031
湖北卫视,http://110.178.145.69:8188/udp/239.1.1.32:8032
东南卫视,http://110.178.145.69:8188/udp/239.1.1.33:8033
河南卫视,http://110.178.145.69:8188/udp/239.1.1.34:8034
江苏卫视,http://110.178.145.69:8188/udp/239.1.1.35:8035
重庆卫视,http://110.178.145.69:8188/udp/239.1.1.36:8036
黑龙江卫视,http://110.178.145.69:8188/udp/239.1.1.37:8037
浙江卫视,http://110.178.145.69:8188/udp/239.1.1.38:8038
深圳卫视,http://110.178.145.69:8188/udp/239.1.1.39:8039
广西卫视,http://110.178.145.69:8188/udp/239.1.1.40:8040
北京卫视,http://110.178.145.69:8188/udp/239.1.1.41:8041
辽宁卫视,http://110.178.145.69:8188/udp/239.1.1.42:8042
贵州卫视,http://110.178.145.69:8188/udp/239.1.1.43:8043
安徽卫视,http://110.178.145.69:8188/udp/239.1.1.44:8044
天津卫视,http://110.178.145.69:8188/udp/239.1.1.46:8046
山东卫视,http://110.178.145.69:8188/udp/239.1.1.47:8047
河北卫视,http://110.178.145.69:8188/udp/239.1.1.48:8048
广东卫视,http://110.178.145.69:8188/udp/239.1.1.49:8049
江西卫视,http://110.178.145.69:8188/udp/239.1.1.52:8052
云南卫视,http://110.178.145.69:8188/rtp/239.1.1.54:8054
陕西卫视,http://110.178.145.69:8188/rtp/239.1.1.50:8050
甘肃卫视,http://110.178.145.69:8188/rtp/239.1.1.51:8051
青海卫视,http://110.178.145.69:8188/rtp/239.1.1.53:8053
海南卫视,http://110.178.145.69:8188/rtp/239.1.1.55:8055
宁夏卫视,http://110.178.145.69:8188/rtp/239.1.1.56:8056
西藏卫视,http://110.178.145.69:8188/rtp/239.1.1.57:8057
兵团卫视,http://110.178.145.69:8188/rtp/239.1.1.58:8058
新疆卫视,http://110.178.145.69:8188/rtp/239.1.1.59:8059
内蒙古卫视,http://110.178.145.69:8188/rtp/239.1.1.60:8060
三沙卫视,http://110.178.145.69:8188/rtp/239.1.1.70:8070
厦门卫视,http://110.178.145.69:8188/rtp/239.1.1.71:8071
农林卫视,http://110.178.145.69:8188/rtp/239.1.1.73:8073
山东教育卫视,http://110.178.145.69:8188/rtp/239.1.1.74:8074
上海动漫秀场,http://110.178.145.69:8188/udp/239.1.1.80:8080
上海都市剧场,http://110.178.145.69:8188/udp/239.1.1.81:8081
上海生活时尚,http://110.178.145.69:8188/udp/239.1.1.76:8076
上海法治天地,http://110.178.145.69:8188/udp/239.1.1.79:8079
上海金色学堂,http://110.178.145.69:8188/udp/239.1.1.82:8082
上海游戏风云,http://110.178.145.69:8188/udp/239.1.1.83:8083
上海乐游纪实,http://110.178.145.69:8188/udp/239.1.1.84:8084
上海东方财经,http://110.178.145.69:8188/udp/239.1.1.85:8085
湖南金鹰纪实,http://110.178.145.69:8188/udp/239.1.1.63:8063
湖南快乐垂钓,http://110.178.145.69:8188/udp/239.1.1.86:8086
湖南茶频道,http://110.178.145.69:8188/udp/239.1.1.77:8077
CETV1,http://110.178.145.69:8188/rtp/239.1.1.65:8065
CETV2,http://110.178.145.69:8188/rtp/239.1.1.66:8066
CETV4,http://110.178.145.69:8188/rtp/239.1.1.67:8067
金鹰卡通,http://110.178.145.69:8188/rtp/239.1.1.61:8061
卡酷少儿,http://110.178.145.69:8188/rtp/239.1.1.62:8062
嘉佳卡通,http://110.178.145.69:8188/rtp/239.1.1.68:8068
哈哈炫动,http://110.178.145.69:8188/rtp/239.1.1.64:8064
优漫卡通,http://110.178.145.69:8188/rtp/239.1.1.72:8072
